session,turn,stage,end_after_commit_ms,elapsed_ms,slot_wait_ms,scheduler_wait_ms,preprocessing_ms,audio_encoder_ms,image_encoder_ms,prefix_prefill_ms,suffix_ms,suffix_queue_ms,tokens,cached_tokens,computed_tokens,cache_ratio,candidates,batches
sess_dee23864,turn_7a9f4961_41,performance,260.096,258.863,0.008,9.155018022283912,4.858,0.0,0.0,45.6355819478631,50.11039390228689,7.557184901088476,1026,1014,12,0.9883040935672515,48,1
sess_dee23864,turn_7a9f4961_41,child,365.204,165.07,0.011,1.679557841271162,13.98,0.0,0.0,58.83265193551779,43.64003986120224,0.7956158369779587,1465,993,472,0.677815699658703,2,1
sess_dee23864,turn_e4b97354_42,performance,115.764,114.579,0.019,5.025073885917664,5.389,0.0,0.0,47.933935886248946,47.09920985624194,3.5529229789972305,1026,1014,12,0.9883040935672515,48,1
sess_dee23864,turn_d5aad421_44,reply-history-route,223.447,222.824,0.019,17.511366866528988,7.69,0.0,0.0,92.86442003212869,109.39317499287426,12.247457867488265,1309,1290,19,0.985485103132162,4,1
sess_dee23864,turn_d5aad421_44,category,409.72,408.097,0.011,18.472636817023158,87.604,0.0,0.0,97.75105211883783,127.11023585870862,16.954625956714153,9656,8978,678,0.929784589892295,51,1
sess_dee23864,turn_d5aad421_44,performance,495.915,494.017,221.117,13.236480066552758,6.189,0.0,0.0,111.29486211575568,77.42902706377208,6.4264771062880754,1034,1014,20,0.9806576402321083,48,1
sess_dee23864,turn_d5aad421_44,child,902.814,492.112,0.018,11.401825118809938,47.736,0.0,0.0,318.89986293390393,53.06322919204831,7.462581153959036,6003,0,6003,0.0,43,1
sess_dee23864,turn_d5aad421_44,pure-action-reply-validation,1010.96,91.667,0.014,1.8816280644387007,2.892,0.0,0.0,40.24618002586067,43.616054113954306,0.9260361548513174,444,410,34,0.9234234234234234,5,1
sess_dee23864,turn_daf94346_45,performance,117.775,116.619,0.016,5.0749697256833315,5.383,0.0,0.0,48.52451919578016,48.12742187641561,3.522405866533518,1026,1014,12,0.9883040935672515,48,1
sess_dee23864,turn_e1c2e883_46,category,200.035,199.011,0.015,11.755383806303144,34.732,0.0,0.0,97.61735796928406,48.23379497975111,3.5325807984918356,6821,5998,823,0.8793432048086791,2,1
sess_dee23864,turn_e1c2e883_46,performance,259.879,258.614,0.008,6.930097239091992,5.006,0.0,0.0,45.233766781166196,49.986987141892314,5.409592064097524,1026,1014,12,0.9883040935672515,48,1
sess_dee23864,turn_e1c2e883_46,child,365.548,165.125,0.008,1.558421878144145,14.132,0.0,0.0,58.95899492315948,44.213637011125684,0.7112468592822552,1465,993,472,0.677815699658703,2,1
sess_dee23864,turn_aeaa9107_47,performance,114.423,113.252,0.017,4.9417270347476006,5.019,0.0,0.0,46.55305505730212,47.46505990624428,3.5031570587307215,1026,1014,12,0.9883040935672515,48,1
sess_dee23864,turn_7002c5a1_49,reply-history-route,216.32,215.715,0.017,20.430722273886204,7.435,0.0,0.0,83.71576992794871,110.28610891662538,12.583251111209393,1309,1290,19,0.985485103132162,4,1
sess_dee23864,turn_7002c5a1_49,category,399.12,397.586,0.01,18.550015054643154,89.267,0.0,0.0,98.34990696981549,125.7669311016798,17.007606104016304,9662,8978,684,0.9292072034775409,51,1
sess_dee23864,turn_7002c5a1_49,performance,481.456,479.549,213.958,13.251252006739378,6.541,0.0,0.0,109.89458090625703,73.11827503144741,6.372513948008418,1034,1014,20,0.9806576402321083,48,1
sess_dee23864,turn_7002c5a1_49,child,640.355,240.668,0.009,9.530442766845226,54.311,0.0,0.0,77.5388260371983,50.41061295196414,7.187269860878587,6011,5446,565,0.9060056562967892,40,1
sess_dee23864,turn_3b51644a_50,performance,111.847,110.667,0.017,4.856716375797987,5.255,0.0,0.0,45.93185498379171,45.95851502381265,3.437646199017763,1026,1014,12,0.9883040935672515,48,1
sess_dee23864,turn_dbadcc3c_52,reply-history-route,209.644,209.077,0.019,12.126793153584003,6.583,0.0,0.0,82.74629898369312,110.6518090236932,10.63187699764967,1313,1290,23,0.9824828636709825,4,1
sess_dee23864,turn_dbadcc3c_52,category,399.883,398.424,0.01,26.145439129322767,87.435,0.0,0.0,100.64233280718327,133.5579741280526,23.928659036755562,9678,8978,700,0.9276710064062823,51,1
sess_dee23864,turn_dbadcc3c_52,performance,484.699,482.938,207.564,14.69190581701696,6.412,0.0,0.0,110.70555099286139,75.86076995357871,6.6291568800807,1038,1014,24,0.976878612716763,48,1
sess_dee23864,turn_dbadcc3c_52,child,890.816,490.376,0.01,9.569082176312804,55.58,0.0,0.0,321.2540128733963,53.00904717296362,6.797264097258449,6027,0,6027,0.0,40,1
sess_dee23864,turn_5fe2ba5f_53,performance,113.31,112.206,0.016,4.961979109793901,5.471,0.0,0.0,47.033139038830996,46.409446047618985,3.489026101306081,1026,1014,12,0.9883040935672515,48,1
sess_dee23864,turn_0186e791_55,reply-history-route,218.557,217.953,0.016,11.528989765793085,6.819,0.0,0.0,90.80437012016773,112.04795306548476,10.110549861565232,1309,1290,19,0.985485103132162,4,1
sess_dee23864,turn_0186e791_55,category,350.967,349.444,0.009,18.381988862529397,83.969,0.0,0.0,102.50266687944531,74.46861080825329,17.010771902278066,9739,8978,761,0.9218605606325084,51,1
sess_dee23864,turn_0186e791_55,performance,434.824,433.023,216.385,13.197290245443583,8.37,0.0,0.0,58.506102999672294,75.8723879698664,6.404684158042073,1034,1014,20,0.9806576402321083,48,1
sess_dee23864,turn_0186e791_55,child,599.815,248.296,0.008,9.353242814540863,50.633,0.0,0.0,82.83219998702407,52.886148914694786,8.427376858890057,6088,5446,642,0.8945466491458607,40,1
sess_dee23864,turn_0186e791_55,pure-action-reply-validation,707.965,91.722,0.008,1.790227135643363,2.522,0.0,0.0,40.79511994495988,44.527688063681126,0.9445040486752987,444,410,34,0.9234234234234234,5,1
sess_dee23864,turn_f2259566_56,performance,113.492,112.297,0.018,4.800290800631046,5.391,0.0,0.0,46.4452700689435,46.309303026646376,3.5500589292496443,1026,1014,12,0.9883040935672515,48,1
sess_dee23864,turn_c17c14ad_58,reply-history-route,214.816,214.253,0.016,12.221337063238025,6.884,0.0,0.0,91.04809281416237,108.36469102650881,10.720161953940988,1310,1290,20,0.9847328244274809,4,1
sess_dee23864,turn_c17c14ad_58,category,400.964,399.517,0.011,19.19704512692988,76.786,0.0,0.0,98.22588786482811,127.54191481508315,17.729690996930003,9675,8978,697,0.9279586563307494,51,1
sess_dee23864,turn_c17c14ad_58,performance,492.6,490.846,212.664,14.372306875884533,7.359,0.0,0.0,110.91873701661825,83.19063694216311,7.001014892011881,1035,1014,21,0.9797101449275363,48,1
sess_dee23864,turn_c17c14ad_58,child,817.491,415.774,0.009,20.122729940339923,59.921,0.0,0.0,95.31708108261228,158.74902484938502,17.718333983793855,7294,6521,773,0.8940224842336166,79,2
sess_dee23864,turn_c17c14ad_58,pure-action-reply-validation,925.638,91.82,0.008,1.8446501344442368,2.712,0.0,0.0,39.0290399082005,45.37193803116679,0.962431076914072,445,410,35,0.9213483146067416,5,1
sess_dee23864,turn_c5d6db9f_59,performance,114.208,113.076,0.017,4.786940291523933,5.356,0.0,0.0,46.676523983478546,46.63424915634096,3.4905981738120317,1026,1014,12,0.9883040935672515,48,1
sess_dee23864,turn_d0380939_60,category,207.054,205.988,0.014,13.452510116621852,33.825,0.0,0.0,99.43130193278193,51.62542103789747,3.732117125764489,6822,5998,824,0.8792143066549399,2,1
sess_dee23864,turn_d0380939_60,performance,273.904,272.593,0.009,11.160946218296885,5.066,0.0,0.0,48.54825581423938,56.43102899193764,9.412533137947321,1026,1014,12,0.9883040935672515,48,1
